url,filename,typ
https://pbs.twimg.com/media/F_g5nKpWgAADvtB?format=jpg&name=large,dalle3/F_g5nKpWgAADvtB.jpg,dalle3
https://pbs.twimg.com/media/F_jAmnBaQAA8TDD?format=jpg&name=large,dalle3/F_jAmnBaQAA8TDD.jpg,dalle3
https://pbs.twimg.com/media/F_jAy5QW0AAr3VW?format=jpg&name=large,dalle3/F_jAy5QW0AAr3VW.jpg,dalle3
https://pbs.twimg.com/media/F_oHSSQWsAAhoni?format=jpg&name=large,dalle3/F_oHSSQWsAAhoni.jpg,dalle3
https://pbs.twimg.com/media/F_obFDYa0AAT6jQ?format=jpg&name=large,dalle3/F_obFDYa0AAT6jQ.jpg,dalle3
https://pbs.twimg.com/media/F_p_dfNXAAAoy2K?format=jpg&name=large,dalle3/F_p_dfNXAAAoy2K.jpg,dalle3
https://pbs.twimg.com/media/F_phccyXMAE4b7p?format=jpg&name=large,dalle3/F_phccyXMAE4b7p.jpg,dalle3
https://pbs.twimg.com/media/F_qVOOmaQAAD0L9?format=jpg&name=large,dalle3/F_qVOOmaQAAD0L9.jpg,dalle3
https://pbs.twimg.com/media/F_qjwaXakAA3_K_?format=jpg&name=large,dalle3/F_qjwaXakAA3_K_.jpg,dalle3
https://pbs.twimg.com/media/F_r-EQ8bgAAXh-W?format=jpg&name=large,dalle3/F_r-EQ8bgAAXh-W.jpg,dalle3
https://pbs.twimg.com/media/F_rthegXsAAh5Ht?format=jpg&name=large,dalle3/F_rthegXsAAh5Ht.jpg,dalle3
https://pbs.twimg.com/media/F_sOQwSXIAA98Jk?format=jpg&name=large,dalle3/F_sOQwSXIAA98Jk.jpg,dalle3
https://pbs.twimg.com/media/F_sPwMiawAAdajF?format=jpg&name=large,dalle3/F_sPwMiawAAdajF.jpg,dalle3
https://pbs.twimg.com/media/F_ssE_TXAAAPtcR?format=jpg&name=large,dalle3/F_ssE_TXAAAPtcR.jpg,dalle3
https://pbs.twimg.com/media/F_sySlSXwAA_RVP?format=jpg&name=large,dalle3/F_sySlSXwAA_RVP.jpg,dalle3
https://pbs.twimg.com/media/F_v3urCWAAA7QQp?format=jpg&name=large,dalle3/F_v3urCWAAA7QQp.jpg,dalle3
https://pbs.twimg.com/media/F_xQRfGW8AAKUkg?format=jpg&name=large,dalle3/F_xQRfGW8AAKUkg.jpg,dalle3
https://pbs.twimg.com/media/F-Yzzd1bsAAgTiI?format=jpg&name=large,dalle3/F-Yzzd1bsAAgTiI.jpg,dalle3
